# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 43.443, 4.974 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "43.4425359", "lon": "4.9735924", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,6.805
2019-01-01 01:00,2019-01-01 02:00,0,0,0,6.953
2019-01-01 02:00,2019-01-01 03:00,0,0,0,6.952
2019-01-01 03:00,2019-01-01 04:00,0,0,0,6.946
2019-01-01 04:00,2019-01-01 05:00,0,0,0,7.036
2019-01-01 05:00,2019-01-01 06:00,0,0,0,7.138
2019-01-01 06:00,2019-01-01 07:00,0,0,0,7.142
2019-01-01 07:00,2019-01-01 08:00,0.041,0.050,0.016,7.289
2019-01-01 08:00,2019-01-01 09:00,0.273,0.268,0.059,8.861
2019-01-01 09:00,2019-01-01 10:00,0.432,0.446,0.078,10.208
2019-01-01 10:00,2019-01-01 11:00,0.511,0.540,0.091,11.485
2019-01-01 11:00,2019-01-01 12:00,0.536,0.571,0.098,12.574
2019-01-01 12:00,2019-01-01 13:00,0.517,0.549,0.096,13.063
2019-01-01 13:00,2019-01-01 14:00,0.450,0.470,0.086,12.991
2019-01-01 14:00,2019-01-01 15:00,0.310,0.307,0.070,12.326
2019-01-01 15:00,2019-01-01 16:00,0.107,0.107,0.036,10.875
2019-01-01 16:00,2019-01-01 17:00,0,0,0,9.307
2019-01-01 17:00,2019-01-01 18:00,0,0,0,8.167
2019-01-01 18:00,2019-01-01 19:00,0,0,0,6.920
2019-01-01 19:00,2019-01-01 20:00,0,0,0,6.039
2019-01-01 20:00,2019-01-01 21:00,0,0,0,5.720
2019-01-01 21:00,2019-01-01 22:00,0,0,0,5.630
2019-01-01 22:00,2019-01-01 23:00,0,0,0,5.610
2019-01-01 23:00,2019-01-02 00:00,0,0,0,5.630
2019-01-02 00:00,2019-01-02 01:00,0,0,0,5.670
2019-01-02 01:00,2019-01-02 02:00,0,0,0,5.789
2019-01-02 02:00,2019-01-02 03:00,0,0,0,5.790
2019-01-02 03:00,2019-01-02 04:00,0,0,0,5.631
2019-01-02 04:00,2019-01-02 05:00,0,0,0,5.636
2019-01-02 05:00,2019-01-02 06:00,0,0,0,5.922
2019-01-02 06:00,2019-01-02 07:00,0,0,0,6.314
2019-01-02 07:00,2019-01-02 08:00,0.073,0.087,0.015,6.606
2019-01-02 08:00,2019-01-02 09:00,0.354,0.378,0.043,7.299
2019-01-02 09:00,2019-01-02 10:00,0.533,0.599,0.051,8.218
2019-01-02 10:00,2019-01-02 11:00,0.632,0.736,0.056,9.066
2019-01-02 11:00,2019-01-02 12:00,0.667,0.788,0.058,9.708
2019-01-02 12:00,2019-01-02 13:00,0.644,0.755,0.058,10.011
2019-01-02 13:00,2019-01-02 14:00,0.562,0.641,0.054,9.873
2019-01-02 14:00,2019-01-02 15:00,0.409,0.444,0.048,9.354
2019-01-02 15:00,2019-01-02 16:00,0.163,0.172,0.030,8.213
2019-01-02 16:00,2019-01-02 17:00,0,0,0,6.805
2019-01-02 17:00,2019-01-02 18:00,0,0,0,5.822
2019-01-02 18:00,2019-01-02 19:00,0,0,0,5.167
2019-01-02 19:00,2019-01-02 20:00,0,0,0,4.766
2019-01-02 20:00,2019-01-02 21:00,0,0,0,4.524
2019-01-02 21:00,2019-01-02 22:00,0,0,0,4.465
2019-01-02 22:00,2019-01-02 23:00,0,0,0,4.385
2019-01-02 23:00,2019-01-03 00:00,0,0,0,4.282
2019-01-03 00:00,2019-01-03 01:00,0,0,0,4.205
2019-01-03 01:00,2019-01-03 02:00,0,0,0,4.005
2019-01-03 02:00,2019-01-03 03:00,0,0,0,3.779
2019-01-03 03:00,2019-01-03 04:00,0,0,0,3.607
2019-01-03 04:00,2019-01-03 05:00,0,0,0,3.399
2019-01-03 05:00,2019-01-03 06:00,0,0,0,3.155
2019-01-03 06:00,2019-01-03 07:00,0,0,0,2.962
2019-01-03 07:00,2019-01-03 08:00,0.058,0.068,0.016,2.930
2019-01-03 08:00,2019-01-03 09:00,0.325,0.328,0.051,3.820
2019-01-03 09:00,2019-01-03 10:00,0.507,0.545,0.061,5.195
2019-01-03 10:00,2019-01-03 11:00,0.605,0.677,0.067,6.779
2019-01-03 11:00,2019-01-03 12:00,0.635,0.721,0.071,8.304
2019-01-03 12:00,2019-01-03 13:00,0.606,0.683,0.071,9.256
2019-01-03 13:00,2019-01-03 14:00,0.511,0.556,0.070,9.656
2019-01-03 14:00,2019-01-03 15:00,0.349,0.357,0.062,9.306
2019-01-03 15:00,2019-01-03 16:00,0.117,0.115,0.036,7.931
2019-01-03 16:00,2019-01-03 17:00,0,0,0,6.289
2019-01-03 17:00,2019-01-03 18:00,0,0,0,5.221
2019-01-03 18:00,2019-01-03 19:00,0,0,0,4.222
2019-01-03 19:00,2019-01-03 20:00,0,0,0,3.628
2019-01-03 20:00,2019-01-03 21:00,0,0,0,3.412
2019-01-03 21:00,2019-01-03 22:00,0,0,0,3.321
2019-01-03 22:00,2019-01-03 23:00,0,0,0,3.249
2019-01-03 23:00,2019-01-04 00:00,0,0,0,3.170
2019-01-04 00:00,2019-01-04 01:00,0,0,0,3.201
2019-01-04 01:00,2019-01-04 02:00,0,0,0,3.511
2019-01-04 02:00,2019-01-04 03:00,0,0,0,3.628
2019-01-04 03:00,2019-01-04 04:00,0,0,0,3.513
2019-01-04 04:00,2019-01-04 05:00,0,0,0,3.294
2019-01-04 05:00,2019-01-04 06:00,0,0,0,3.083
2019-01-04 06:00,2019-01-04 07:00,0,0,0,2.914
2019-01-04 07:00,2019-01-04 08:00,0.035,0.041,0.018,2.975
2019-01-04 08:00,2019-01-04 09:00,0.217,0.186,0.072,4.232
2019-01-04 09:00,2019-01-04 10:00,0.285,0.222,0.115,5.359
2019-01-04 10:00,2019-01-04 11:00,0.363,0.292,0.138,6.573
2019-01-04 11:00,2019-01-04 12:00,0.490,0.469,0.123,7.932
2019-01-04 12:00,2019-01-04 13:00,0.542,0.563,0.101,8.951
2019-01-04 13:00,2019-01-04 14:00,0.397,0.371,0.107,9.414
2019-01-04 14:00,2019-01-04 15:00,0.228,0.186,0.090,9.215
2019-01-04 15:00,2019-01-04 16:00,0.049,0.038,0.037,8.060
2019-01-04 16:00,2019-01-04 17:00,0,0,0,6.789
2019-01-04 17:00,2019-01-04 18:00,0,0,0,6.195
2019-01-04 18:00,2019-01-04 19:00,0,0,0,5.238
2019-01-04 19:00,2019-01-04 20:00,0,0,0,4.550
2019-01-04 20:00,2019-01-04 21:00,0,0,0,4.298
2019-01-04 21:00,2019-01-04 22:00,0,0,0,4.031
2019-01-04 22:00,2019-01-04 23:00,0,0,0,3.500
2019-01-04 23:00,2019-01-05 00:00,0,0,0,3.316
2019-01-05 00:00,2019-01-05 01:00,0,0,0,3.210
2019-01-05 01:00,2019-01-05 02:00,0,0,0,3.054
2019-01-05 02:00,2019-01-05 03:00,0,0,0,3.006
2019-01-05 03:00,2019-01-05 04:00,0,0,0,2.914
2019-01-05 04:00,2019-01-05 05:00,0,0,0,2.762
2019-01-05 05:00,2019-01-05 06:00,0,0,0,2.635
2019-01-05 06:00,2019-01-05 07:00,0,0,0,2.531
2019-01-05 07:00,2019-01-05 08:00,0.069,0.080,0.017,2.583
2019-01-05 08:00,2019-01-05 09:00,0.313,0.311,0.054,3.448
2019-01-05 09:00,2019-01-05 10:00,0.496,0.526,0.065,4.906
2019-01-05 10:00,2019-01-05 11:00,0.607,0.677,0.068,6.462
2019-01-05 11:00,2019-01-05 12:00,0.639,0.724,0.071,7.570
2019-01-05 12:00,2019-01-05 13:00,0.610,0.684,0.072,8.135
2019-01-05 13:00,2019-01-05 14:00,0.522,0.567,0.068,8.216
2019-01-05 14:00,2019-01-05 15:00,0.363,0.372,0.060,7.884
2019-01-05 15:00,2019-01-05 16:00,0.128,0.127,0.036,7.171
2019-01-05 16:00,2019-01-05 17:00,0,0,0,6.310
2019-01-05 17:00,2019-01-05 18:00,0,0,0,5.680
2019-01-05 18:00,2019-01-05 19:00,0,0,0,5.220
2019-01-05 19:00,2019-01-05 20:00,0,0,0,4.989
2019-01-05 20:00,2019-01-05 21:00,0,0,0,4.911
2019-01-05 21:00,2019-01-05 22:00,0,0,0,4.987
2019-01-05 22:00,2019-01-05 23:00,0,0,0,5.068
2019-01-05 23:00,2019-01-06 00:00,0,0,0,4.987
2019-01-06 00:00,2019-01-06 01:00,0,0,0,4.849
2019-01-06 01:00,2019-01-06 02:00,0,0,0,4.751
2019-01-06 02:00,2019-01-06 03:00,0,0,0,4.627
2019-01-06 03:00,2019-01-06 04:00,0,0,0,4.442
