# Renewables.ninja Wind power (Point API) - 43.228, 4.828 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "43.22829963932391", "lon": "4.828497527323158", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,0.755,10.277
2019-01-01 01:00,2019-01-01 02:00,0.695,9.689
2019-01-01 02:00,2019-01-01 03:00,0.623,9.098
2019-01-01 03:00,2019-01-01 04:00,0.572,8.703
2019-01-01 04:00,2019-01-01 05:00,0.560,8.620
2019-01-01 05:00,2019-01-01 06:00,0.552,8.552
2019-01-01 06:00,2019-01-01 07:00,0.549,8.526
2019-01-01 07:00,2019-01-01 08:00,0.535,8.420
2019-01-01 08:00,2019-01-01 09:00,0.495,8.135
2019-01-01 09:00,2019-01-01 10:00,0.422,7.605
2019-01-01 10:00,2019-01-01 11:00,0.344,7.023
2019-01-01 11:00,2019-01-01 12:00,0.313,6.788
2019-01-01 12:00,2019-01-01 13:00,0.348,7.056
2019-01-01 13:00,2019-01-01 14:00,0.451,7.820
2019-01-01 14:00,2019-01-01 15:00,0.594,8.872
2019-01-01 15:00,2019-01-01 16:00,0.739,10.112
2019-01-01 16:00,2019-01-01 17:00,0.831,11.154
2019-01-01 17:00,2019-01-01 18:00,0.896,12.238
2019-01-01 18:00,2019-01-01 19:00,0.933,13.111
2019-01-01 19:00,2019-01-01 20:00,0.960,14.043
2019-01-01 20:00,2019-01-01 21:00,0.979,15.112
2019-01-01 21:00,2019-01-01 22:00,0.988,16.028
2019-01-01 22:00,2019-01-01 23:00,0.990,16.525
2019-01-01 23:00,2019-01-02 00:00,0.991,16.831
2019-01-02 00:00,2019-01-02 01:00,0.991,17.190
2019-01-02 01:00,2019-01-02 02:00,0.991,17.553
2019-01-02 02:00,2019-01-02 03:00,0.990,17.787
2019-01-02 03:00,2019-01-02 04:00,0.987,18.148
2019-01-02 04:00,2019-01-02 05:00,0.983,18.556
2019-01-02 05:00,2019-01-02 06:00,0.979,18.893
2019-01-02 06:00,2019-01-02 07:00,0.968,19.448
2019-01-02 07:00,2019-01-02 08:00,0.959,19.797
2019-01-02 08:00,2019-01-02 09:00,0.968,19.444
2019-01-02 09:00,2019-01-02 10:00,0.972,19.266
2019-01-02 10:00,2019-01-02 11:00,0.963,19.645
2019-01-02 11:00,2019-01-02 12:00,0.958,19.824
2019-01-02 12:00,2019-01-02 13:00,0.957,19.872
2019-01-02 13:00,2019-01-02 14:00,0.958,19.811
2019-01-02 14:00,2019-01-02 15:00,0.962,19.672
2019-01-02 15:00,2019-01-02 16:00,0.958,19.825
2019-01-02 16:00,2019-01-02 17:00,0.948,20.132
2019-01-02 17:00,2019-01-02 18:00,0.953,19.994
2019-01-02 18:00,2019-01-02 19:00,0.969,19.393
2019-01-02 19:00,2019-01-02 20:00,0.982,18.620
2019-01-02 20:00,2019-01-02 21:00,0.990,17.621
